,0
1395,7.85
1396,7.04
1397,6.76
1398,6.67
1399,7.01
1400,7.40
1401,7.92
1402,8.46
1403,9.22
1404,9.91
1405,10.74
1406,10.78
1407,11.18
1408,10.28
1409,9.41
1410,8.91
1411,8.92
1412,8.84
1413,8.77
1414,8.03
1415,6.82
1416,6.08
1417,5.06
1418,4.29
1419,3.38
1420,2.93
1421,2.22
1422,1.80
1423,2.74
1424,2.76
1425,2.92
1426,4.52
1427,6.96
1428,8.67
1429,9.57
1430,10.31
1431,10.20
1432,10.13
1433,10.18
1434,9.21
1435,8.11
1436,7.70
1437,6.95
1438,7.31
1439,6.60
1440,6.26
1441,5.87
1442,5.12
1443,4.70
1444,4.42
1445,4.08
1446,3.84
1447,3.54
1448,3.53
1449,4.56
1450,5.71
1451,6.43
1452,7.38
1453,8.45
1454,10.21
1455,12.03
1456,12.65
1457,12.62
1458,11.59
1459,10.68
1460,10.40
1461,10.03
1462,9.92
1463,9.54
1464,9.11
1465,8.84
1466,8.24
1467,7.91
1468,7.09
1469,7.90
1470,7.39
1471,6.78
1472,6.82
1473,7.32
1474,8.15
1475,11.68
1476,13.53
1477,14.77
1478,17.39
1479,17.41
1480,17.02
1481,15.46
1482,14.36
1483,13.32
1484,12.17
1485,11.84
1486,11.68
1487,10.13
1488,9.88
1489,9.24
1490,9.34
1491,8.78
1492,7.92
1493,8.63
1494,7.94
1495,6.39
1496,5.97
1497,6.84
1498,8.98
1499,11.04
1500,12.33
1501,13.33
1502,15.17
1503,15.42
1504,15.79
1505,15.33
1506,14.08
1507,11.65
1508,9.27
1509,7.92
1510,7.13
1511,7.06
1512,6.88
1513,6.54
1514,6.56
1515,6.45
1516,6.45
1517,6.57
1518,6.56
1519,6.38
1520,6.13
1521,6.12
1522,6.32
1523,7.04
1524,8.30
1525,8.45
1526,9.32
1527,9.38
1528,9.72
1529,9.67
1530,9.18
1531,9.18
1532,8.44
1533,8.22
1534,7.69
1535,7.12
1536,6.46
1537,6.62
1538,6.58
1539,6.34
1540,6.22
1541,5.72
1542,5.11
1543,4.81
1544,4.48
1545,4.94
1546,6.15
1547,7.75
1548,9.89
1549,11.91
1550,13.69
1551,13.79
1552,13.57
1553,13.31
1554,12.42
1555,11.68
1556,11.32
1557,10.94
1558,10.39
1559,10.88
1560,10.08
1561,10.46
1562,10.13
1563,9.77
1564,9.39
1565,9.70
1566,9.60
1567,9.02
1568,9.29
1569,9.37
1570,9.37
1571,10.07
1572,11.07
1573,11.91
1574,12.94
1575,13.12
1576,12.95
1577,12.14
1578,11.67
1579,10.78
1580,9.86
1581,8.93
1582,8.39
1583,7.56
1584,7.08
1585,6.82
1586,6.05
1587,5.71
1588,5.21
1589,4.86
1590,4.56
1591,4.69
1592,4.84
1593,5.43
1594,6.42
1595,7.88
1596,9.54
1597,10.95
1598,12.05
1599,12.49
1600,12.26
1601,11.02
1602,10.12
1603,9.82
1604,9.04
1605,8.92
1606,8.70
1607,8.41
1608,8.16
1609,7.94
1610,7.44
1611,7.96
1612,8.23
1613,8.10
1614,8.08
1615,8.16
1616,8.38
1617,8.73
1618,9.41
1619,10.56
1620,11.25
1621,11.17
1622,10.79
1623,10.41
1624,10.64
1625,11.27
1626,11.44
1627,10.94
1628,10.29
1629,9.91
1630,9.83
1631,9.83
1632,9.84
1633,10.05
1634,10.32
1635,10.39
1636,9.87
1637,10.00
1638,9.76
1639,9.76
1640,9.82
1641,9.70
1642,10.90
1643,10.78
1644,11.53
1645,11.90
1646,11.91
1647,12.52
1648,12.43
1649,11.54
1650,11.27
1651,10.94
1652,10.45
1653,10.90
1654,10.55
1655,10.01
1656,9.42
1657,9.54
1658,10.07
1659,10.74
1660,8.37
1661,7.82
1662,7.84
1663,6.94
1664,6.68
1665,6.83
1666,8.27
1667,8.78
1668,8.75
1669,7.73
1670,8.59
1671,8.82
1672,9.37
1673,9.78
1674,9.06
1675,8.49
1676,8.53
1677,8.47
1678,8.53
1679,8.40
1680,8.43
1681,8.44
1682,8.03
1683,7.97
1684,7.89
1685,7.84
1686,7.92
1687,7.96
1688,7.99
1689,8.42
1690,8.79
1691,9.44
1692,9.54
1693,10.41
1694,10.76
1695,11.65
1696,10.82
1697,10.82
1698,9.98
1699,8.76
1700,8.01
1701,8.42
1702,7.32
1703,6.74
1704,7.11
1705,6.44
1706,6.66
1707,6.09
1708,6.01
1709,5.88
1710,5.65
1711,6.11
1712,6.20
1713,6.62
1714,7.46
1715,8.38
1716,8.59
1717,9.52
1718,10.25
1719,11.01
1720,11.62
1721,12.57
1722,13.10
1723,12.62
1724,12.28
1725,12.17
1726,11.46
1727,11.53
1728,11.52
1729,11.28
1730,11.08
1731,10.89
1732,10.65
1733,10.44
1734,10.29
1735,9.76
1736,9.77
1737,10.51
1738,11.09
1739,12.27
1740,12.91
1741,12.94
1742,12.54
1743,11.69
1744,11.68
1745,11.66
1746,11.56
1747,11.51
1748,11.08
1749,11.09
1750,10.84
1751,11.10
1752,10.60
1753,10.21
1754,10.38
1755,9.98
1756,10.41
1757,10.43
1758,9.63
1759,9.72
1760,9.78
1761,9.65
1762,9.91
1763,9.97
1764,10.83
1765,11.33
1766,11.27
1767,12.01
1768,11.17
1769,10.42
1770,9.93
1771,9.76
1772,9.44
1773,8.92
1774,8.44
1775,7.91
1776,7.50
1777,6.78
1778,5.93
1779,5.81
1780,5.44
1781,5.25
1782,4.67
1783,4.28
1784,4.94
1785,5.62
1786,7.12
1787,8.94
1788,9.99
1789,10.64
1790,11.76
1791,11.80
1792,10.91
1793,10.02
1794,9.21
1795,8.81
1796,8.48
1797,8.87
1798,9.94
1799,11.74
1800,12.54
1801,12.82
1802,12.81
1803,11.37
1804,10.90
1805,11.01
1806,10.34
1807,9.79
1808,9.84
1809,9.65
1810,10.55
1811,10.95
1812,11.89
1813,12.53
1814,12.45
1815,13.17
1816,13.24
1817,12.90
1818,12.15
1819,11.07
1820,9.61
1821,8.49
1822,7.69
1823,7.31
1824,7.58
1825,7.63
1826,7.78
1827,6.69
1828,6.67
1829,6.00
1830,5.97
1831,5.73
1832,5.42
1833,6.84
1834,8.97
1835,11.51
1836,12.79
1837,14.74
1838,15.31
1839,15.76
1840,15.59
1841,15.56
1842,15.47
1843,14.83
1844,13.71
1845,13.29
1846,13.47
1847,13.56
1848,13.14
1849,12.05
1850,10.51
1851,10.26
1852,10.02
1853,8.90
1854,8.72
1855,8.21
1856,7.91
1857,8.74
1858,9.83
1859,10.83
1860,11.63
1861,12.23
1862,12.72
1863,13.21
1864,12.88
1865,12.47
1866,12.12
1867,11.73
1868,10.87
1869,10.12
1870,9.72
1871,9.59
1872,9.59
1873,9.88
1874,9.54
1875,9.01
1876,8.91
1877,9.26
1878,9.46
1879,9.82
1880,10.10
1881,10.02
1882,9.97
1883,9.91
1884,9.80
1885,9.76
1886,9.43
1887,9.43
1888,9.27
1889,9.47
1890,9.46
1891,9.16
1892,9.03
1893,8.95
1894,9.19
1895,9.51
1896,9.29
1897,9.25
1898,9.12
1899,9.13
1900,9.11
1901,8.14
1902,7.46
1903,7.21
1904,6.62
1905,7.89
1906,8.55
1907,9.41
1908,9.83
1909,10.95
1910,11.27
1911,11.74
1912,11.70
1913,11.84
1914,11.24
1915,10.39
1916,9.03
1917,8.72
1918,8.40
1919,8.63
1920,6.96
1921,6.17
1922,5.49
1923,4.60
1924,4.25
1925,4.30
1926,3.59
1927,2.98
1928,3.96
1929,6.09
1930,7.26
1931,9.94
1932,11.48
1933,12.63
1934,12.64
1935,12.89
1936,12.26
1937,12.03
1938,11.61
1939,9.54
1940,9.11
1941,9.23
1942,9.21
1943,8.13
1944,7.57
1945,7.14
1946,7.67
1947,6.86
1948,6.97
1949,6.65
1950,7.37
1951,7.37
1952,7.03
1953,8.17
1954,8.37
1955,8.53
1956,8.34
1957,8.82
1958,10.07
1959,11.29
1960,12.52
1961,11.81
1962,10.69
1963,9.78
1964,9.29
1965,7.65
1966,7.49
1967,6.19
1968,6.27
1969,6.16
1970,5.49
1971,5.27
1972,3.97
1973,3.31
1974,3.39
1975,3.51
1976,3.46
1977,5.16
1978,7.74
1979,9.48
1980,10.87
1981,11.99
1982,12.68
1983,13.43
1984,13.72
1985,13.87
1986,12.99
1987,11.92
1988,10.07
1989,8.29
1990,7.96
1991,7.26
1992,5.82
1993,5.31
1994,4.46
1995,3.46
1996,3.08
1997,2.88
1998,2.47
1999,4.16
2000,4.60
2001,5.33
2002,9.40
2003,10.64
2004,11.88
2005,13.29
2006,14.11
2007,14.94
2008,14.89
2009,14.56
2010,13.21
2011,11.82
2012,11.17
2013,9.81
2014,8.08
2015,7.93
2016,6.88
2017,7.21
2018,6.76
2019,4.12
2020,6.24
2021,5.87
2022,2.53
2023,4.78
2024,4.63
2025,6.79
2026,8.94
2027,10.13
2028,12.31
2029,14.21
2030,15.35
2031,15.76
2032,15.47
2033,15.34
2034,14.42
2035,12.94
2036,11.83
2037,9.52
2038,8.19
2039,6.94
2040,6.38
2041,8.51
2042,8.33
2043,4.41
2044,4.13
2045,3.93
2046,3.39
2047,3.30
2048,4.13
2049,6.36
2050,8.08
2051,10.60
2052,11.39
2053,12.62
2054,14.04
2055,14.60
2056,14.33
2057,13.96
2058,13.34
2059,12.32
2060,10.92
2061,10.20
2062,9.40
2063,10.02
2064,8.62
2065,7.84
2066,7.41
2067,6.44
2068,5.96
2069,5.49
2070,5.03
2071,4.72
2072,5.04
2073,6.48
2074,8.61
2075,10.84
2076,12.44
2077,13.79
2078,14.15
2079,14.70
2080,14.67
2081,14.16
2082,13.19
2083,12.08
2084,11.09
2085,10.34
2086,9.57
2087,7.70
2088,8.39
2089,6.14
2090,5.87
2091,5.72
2092,4.80
2093,4.32
2094,3.97
2095,3.69
2096,3.66
2097,5.99
2098,8.49
2099,10.81
2100,12.40
2101,13.72
2102,14.83
2103,15.02
2104,14.97
2105,14.92
2106,13.97
2107,11.66
2108,11.81
2109,8.94
2110,8.57
2111,7.31
2112,6.91
2113,6.17
2114,5.54
2115,4.72
2116,3.81
2117,2.81
2118,2.74
2119,2.30
2120,3.06
2121,4.84
2122,5.54
2123,6.58
2124,9.22
2125,11.62
2126,12.22
2127,13.17
2128,12.38
2129,12.01
